#Org.,Pro.,Eco.,Descripción,Créditos Iniciales,Créditos Extraordinarios,Créditos Totales consignados,Obligaciones Reconocidas,Disponible de Remanentes por aplicación
0101G,93300,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,181475.19,,163892.69,163018.08,
0101G,93300,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,338048.92,,338048.92,344469.74,
0101G,93300,20200,ARRENDAMIENTO DE EDIFICIOS Y OTRAS CONSTRUCCIONES,21500.0,,21500.0,20840.67,
0101G,93300,20900,CÁNONES,13600.0,,13600.0,15781.9,
0101G,93300,21200,REPAR/MANTEN. EDIFICIOS Y OTRAS CONSTRUCCIONES,381000.0,,381000.0,572890.55,
0101G,93300,21400,REPAR/MANTEN. ELEMENTOS DE TRANSPORTE,300.0,,300.0,185.55,
0101G,93300,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,5200.0,,5200.0,802.5,
0101G,93300,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,2500.0,,2500.0,98.74,
0101G,93300,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",1800.0,,1800.0,1720.8,
0101G,93300,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,900.0,,900.0,2029.52,
0101G,93300,22104,VESTUARIO,5000.0,,5000.0,1364.24,
0101G,93300,22300,GASTOS DE TRANSPORTES,,,,309.0,
0101G,93300,22400,PRIMAS DE SEGUROS,130000.0,,130000.0,131009.56,
0101G,93300,22402,PRIMAS DE SEGUROS. OTRO INMOVILIZADO,44000.0,,44000.0,44048.89,
0101G,93300,22603,PUBLICACIÓN EN DIARIOS OFICIALES,1000.0,,1000.0,3172.12,
0101G,93300,22614,CUOTAS DE COMUNIDAD,2600.0,,2600.0,2607.66,
0101G,93300,22699,OTROS GASTOS DIVERSOS,395116.46,,395116.46,725.53,
0101G,93300,22700,LIMPIEZA Y ASEO,1797059.17,,1722059.17,1406513.1,
0101G,93300,22701,SEGURIDAD,387666.07,,287666.07,264675.9,
0101G,93300,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,400.0,,400.0,1797.6,
0101G,93300,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,104506.26,,104506.26,91186.4,
0101G,93300,62200,EDIFICIOS Y OTRAS CONSTRUCCIONES,894021.5,,894021.5,646846.75,
0101G,93300,62300,"MAQUINARIA, INSTALACIONES TÉCNICAS Y UTILLAJE",,,,1882.34,
0101G,93300,62500,MOBILIARIO,20000.0,,20000.0,9226.01,
0101G,93300,62909,OTRAS INV NUEVAS ASOC AL FUNCIONAM OPERATIVO DE LOS SERV,100000.0,,100000.0,100000.0,
0101H,92000,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,13441.8,,13441.8,12870.63,
0101H,92000,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,52433.28,,43633.8,43305.37,
0101H,92000,12004,SUELDOS PERSONAL FUNCIONARIO GRUPO C2,5447.25,,5447.25,,
0101H,92000,12005,SUELDOS PERSONAL FUNCIONARIO GRUPO E,55.4,,55.4,,
0101H,92000,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,23183.64,,23183.64,18690.26,
0101H,92000,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,42197.4,,42197.4,36641.28,
0101H,92000,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,42558.95,,35476.63,35085.76,
0101H,92000,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,85005.04,,73036.48,72096.48,
0101H,92000,12106,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL FUNCIONARIO,16637.28,,5085.25,4972.32,
0101H,92000,12300,RESIDENCIA PERSONAL FUNCIONARIO,11372.09,,11372.09,8943.64,
0101H,92000,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,22301.46,,22301.46,21989.65,
0101H,92000,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,19000.08,,19000.08,19000.08,
0101H,92000,13006,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL LABORAL,5473.08,,5473.08,5183.76,
0101H,92000,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,44664.97,,44664.97,44518.03,
0101H,92000,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,130000.0,,130000.0,73967.74,
0101H,92000,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",1000.0,,1000.0,,
0101H,92000,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,2000.0,,2000.0,910.07,
0101H,92000,22603,PUBLICACIÓN EN DIARIOS OFICIALES,7000.0,,7000.0,13980.09,
0201A,15101,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,64072.58,,45172.58,45090.74,
0201A,15101,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,23245.68,,23245.68,20464.95,
0201A,15101,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,8799.48,,8799.48,8726.76,
0201A,15101,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,30221.64,,26721.64,25434.04,
0201A,15101,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,54357.56,,47357.56,45968.59,
0201A,15101,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,58292.31,,48792.31,46427.41,
0201A,15101,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,126329.73,,105829.73,101136.04,
0201A,15101,12106,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL FUNCIONARIO,3103.92,,3103.92,2766.72,
0201A,15101,12300,RESIDENCIA PERSONAL FUNCIONARIO,14721.67,,11821.67,11367.43,
0201A,15101,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,33913.0,,31413.0,31401.06,
0201A,15101,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,27409.68,,26009.68,25668.64,
0201A,15101,13006,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL LABORAL,6239.64,,6239.64,6051.12,
0201A,15101,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,914146.89,,914146.89,916195.6,
0201A,15101,20900,CÁNONES,,,,17267.25,
0201A,15101,21000,REPAR/MANTEN. INFR ESTRUCTURA Y BIENES NATURALES,15000.0,,15000.0,232773.75,
0201A,15101,21200,REPAR/MANTEN. EDIFICIOS Y OTRAS CONSTRUCCIONES,35000.0,,35000.0,7570.58,
0201A,15101,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,5000.0,,5000.0,,
0201A,15101,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,18000.0,,18000.0,8984.41,
0201A,15101,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",1000.0,,1000.0,,
0201A,15101,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,18000.0,,18000.0,,
0201A,15101,22501,TRIBUTOS DE LAS COMUNIDADES AUTÓNOMAS,,,,1138.44,
0201A,15101,22602,PUBLICIDAD Y PROPAGANDA,2500.0,,2500.0,885.96,
0201A,15101,22603,PUBLICACIÓN EN DIARIOS OFICIALES,5000.0,,5000.0,10502.34,
0201A,15101,22604,"GASTOS JURÍDICOS, CONTENCIOSOS",15000.0,59618.82,74618.82,66838.73,
0201A,15101,22697,OTROS GASTOS DIVERSOS. INDEMNIZACIONES POR SENTENCIAS,75000.0,,75000.0,,
0201A,15101,22699,OTROS GASTOS DIVERSOS,25000.0,,6300.0,14.0,
0201A,15101,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,1070000.0,,1070000.0,601996.53,
0201A,15101,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,50000.0,,50000.0,,
0201A,15101,23100,LOCOMOCIONES DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,1500.0,,1500.0,,
0201A,15101,35200,INTERESES DE DEMORA,3220425.64,6844.76,4185653.6,4167512.49,
0201A,15101,60000,INVERSION EN TERRENOS,11368903.91,,11368903.91,9546080.01,
0201A,15101,60900,OTRAS INVERSIONES NUEVAS EN INFR EST. Y BIENES DE USO GNRAL.,5704586.51,1317736.72,7022323.23,2842298.99,
0201A,15101,61900,OTRAS REPOSICIONES DE USO GENERAL,,700632.43,700632.43,657336.7,
0201A,15101,62200,EDIFICIOS Y OTRAS CONSTRUCCIONES,,105550.41,105550.41,105550.41,
0201A,15101,63200,"EDIFICIOS Y OTRAS CONSTRUCCIONES, USO OPERATIVO",,,,,
0201A,15101,76100,"TRANSF. DE CAPITAL A DIPUTACIONES, CONSEJOS O CABILDOS",254209.77,61154.89,426626.3,426626.3,
0201A,15103,60900,OTRAS INVERSIONES NUEVAS EN INFR EST. Y BIENES DE USO GNRAL.,2240236.58,,2240236.58,104823.59,
0201A,15103,61900,OTRAS REPOSICIONES DE USO GENERAL,2240236.57,,2240236.57,136487.87,
0201A,15103,62200,EDIFICIOS Y OTRAS CONSTRUCCIONES,560059.15,,560059.15,,
0201A,15103,63200,"EDIFICIOS Y OTRAS CONSTRUCCIONES, USO OPERATIVO",560059.15,,560059.15,45604.55,
0201A,15310,61900,OTRAS REPOSICIONES DE USO GENERAL,,691010.14,691010.14,500425.8,
0201A,15320,61900,OTRAS REPOSICIONES DE USO GENERAL,,6405780.58,6405780.58,4247005.85,
0201A,16000,61900,OTRAS REPOSICIONES DE USO GENERAL,,511062.07,511062.07,303060.42,
0201A,17100,61900,OTRAS REPOSICIONES DE USO GENERAL,,449583.06,449583.06,327346.83,
0201A,17200,61900,OTRAS REPOSICIONES DE USO GENERAL,,115344.56,115344.56,89319.31,
0201A,44200,60900,OTRAS INVERSIONES NUEVAS EN INFR EST. Y BIENES DE USO GNRAL.,,112419.54,112419.54,105937.24,
0201A,44200,61900,OTRAS REPOSICIONES DE USO GENERAL,,105547.59,105547.59,84416.11,
0201A,93300,61900,OTRAS REPOSICIONES DE USO GENERAL,,98841.43,98841.43,90133.61,
0201B,15210,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,11622.84,,11622.84,11571.59,
0201B,15210,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,17453.52,,17453.52,16871.76,
0201B,15210,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,7376.52,,7376.52,7104.3,
0201B,15210,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,17660.62,,17660.62,17347.32,
0201B,15210,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,18032.04,,18032.04,17713.02,
0201B,15210,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,39579.84,,39579.84,38879.46,
0201B,15210,12300,RESIDENCIA PERSONAL FUNCIONARIO,4501.44,,4501.44,4408.02,
0201B,15210,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,15255.37,,15255.37,15251.94,
0201B,15210,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,13949.16,,13949.16,13949.16,
0201B,15210,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,290983.2,,290983.2,290828.77,
0201B,15210,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,2000.0,,2000.0,,
0201B,15210,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,3000.0,,3000.0,,
0201B,15210,22200,SERVICIOS DE TELECOMUNICACIONES,300.0,,300.0,,
0201B,15210,22201,COMUNICACIONES POSTALES,,,,25.1,
0201B,15210,22603,PUBLICACIÓN EN DIARIOS OFICIALES,,,,468.02,
0201B,15210,22604,"GASTOS JURÍDICOS, CONTENCIOSOS",25000.0,,25000.0,29370.89,
0201B,15210,22699,OTROS GASTOS DIVERSOS,1000.0,,1000.0,1475.0,
0201B,15210,22701,SEGURIDAD,,,,17484.23,
0201B,15210,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,150000.0,,150000.0,101090.33,
0201B,15210,23000,DIETAS DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,500.0,,500.0,,
0201B,15210,23020,DIETAS DEL PERSONAL NO DIRECTIVO,500.0,,500.0,,
0201B,15210,23100,LOCOMOCIONES DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,1000.0,,1000.0,,
0201B,15210,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,1000.0,,1000.0,,
0201B,15210,48900,OTRAS TRANSFERENCIAS A FAMILIAS E INSTIT. SIN FINES DE LUCRO,1000000.0,,1000000.0,984818.19,
0201B,15210,68200,GASTOS EN INVERSIONES DE EDIFICIOS Y OTRAS CONSTRUCCIONES,941960.0,476.26,1388676.39,1138690.32,48812.93
0201B,15210,78900,OTRAS TRANSFERENCIAS DE CAPITAL,6303114.36,,8309680.38,1431489.96,168210.59
0201B,15220,21000,REPAR/MANTEN. INFR ESTRUCTURA Y BIENES NATURALES,20000.0,,20000.0,63123.32,
0201B,15220,21200,REPAR/MANTEN. EDIFICIOS Y OTRAS CONSTRUCCIONES,1000.0,,1000.0,200.26,
0201B,15220,21201,REPAR/MANTEN. DE VIVIENDAS,43000.0,,43000.0,20071.86,
0201B,15220,22100,ENERGÍA ELÉCTRICA,500.0,,500.0,67.67,
0201B,15220,22101,AGUA,1000.0,,1000.0,1468.89,
0201B,15220,22614,CUOTAS DE COMUNIDAD,70200.0,,70200.0,59387.38,
0201B,15220,60900,OTRAS INVERSIONES NUEVAS EN INFR EST. Y BIENES DE USO GNRAL.,,13390.26,13421.2,13390.26,30.94
0201C,15102,10100,RETRIBUCIONES BÁSICAS PERSONAL DIRECTIVO,61210.43,,61210.43,60586.81,
0201C,15102,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,54887.35,,53787.35,53767.2,
0201C,15102,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,46491.36,,46491.36,41951.55,
0201C,15102,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,104793.84,,95993.84,95697.82,
0201C,15102,12004,SUELDOS PERSONAL FUNCIONARIO GRUPO C2,20033.78,,14533.78,14526.0,
0201C,15102,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,59842.54,,56442.54,54487.94,
0201C,15102,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,126722.25,,119722.25,118171.16,
0201C,15102,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,130527.19,,120527.19,118611.91,
0201C,15102,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,264403.1,,248903.1,244592.3,
0201C,15102,12106,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL FUNCIONARIO,13806.72,,11306.72,10087.45,
0201C,15102,12300,RESIDENCIA PERSONAL FUNCIONARIO,35296.87,,33296.87,32125.2,
0201C,15102,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,88414.23,,88414.23,87752.22,
0201C,15102,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,85338.0,,85338.0,84820.38,
0201C,15102,13006,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL LABORAL,20007.6,,20007.6,19191.12,
0201C,15102,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,1566663.16,,1547663.16,1527626.47,
0201C,15102,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL.,,,395.9,395.9,
0201C,15102,21300,"REPAR/MANTEN. MAQUINARIA, INSTALACIONES TÉCNICAS Y UTILLAJE",1000.0,,1000.0,,
0201C,15102,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,1000.0,,1000.0,,
0201C,15102,21600,REPAR/MANTEN. EQUIPOS PARA PROCESOS DE INFORMACIÓN,,,,556.4,
0201C,15102,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,2000.0,,2000.0,1996.65,
0201C,15102,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",1000.0,,1000.0,76.4,
0201C,15102,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,16500.0,,16500.0,7499.7,
0201C,15102,22104,VESTUARIO,,,,83.4,
0201C,15102,22109,ÚTILES Y HERRAMIENTAS,5000.0,,4600.74,,
0201C,15102,22199,OTROS SUMINISTROS,,,,134.77,
0201C,15102,22300,GASTOS DE TRANSPORTES,500.0,,500.0,,
0201C,15102,22602,PUBLICIDAD Y PROPAGANDA,500.0,,,,
0201C,15102,22604,"GASTOS JURÍDICOS, CONTENCIOSOS",20000.0,,20000.0,64919.6,
0201C,15102,22697,OTROS GASTOS DIVERSOS. INDEMNIZACIONES POR SENTENCIAS,7500.0,,7500.0,,
0201C,15102,22699,OTROS GASTOS DIVERSOS,8000.0,,4.09,,
0201C,15102,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,15000.0,,15000.0,310.3,
0201C,15102,22790,EJECUCIONES SUBSIDIARIAS,120000.0,,120000.0,80063.0,
0201C,15102,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,50000.0,,31596.0,,
0201C,15102,23010,DIETAS DEL PERSONAL DIRECTIVO,1000.0,,1000.0,,
0201C,15102,23020,DIETAS DEL PERSONAL NO DIRECTIVO,1000.0,,1000.0,,
0201C,15102,23110,LOCOMOCIONES DEL PERSONAL DIRECTIVO,1500.0,,1500.0,,
0201C,15102,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,2000.0,,2000.0,247.76,
0201C,15102,35200,INTERESES DE DEMORA,10000.0,,10000.0,,
0201C,15102,62300,"MAQUINARIA, INSTALACIONES TÉCNICAS Y UTILLAJE",,,8100.01,,
0201C,15102,64100,GASTOS EN APLICACIONES INFORMÁTICAS,,,18404.0,,
0301A,43200,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,22776.25,,22776.25,22772.81,
0301A,43200,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,73049.15,,73049.15,73043.36,
0301A,43200,44900,OTRAS SUBV. A ENTES PÚBL. Y SOC. MERCANTILES DEL AYTO.,1200000.0,,1200000.0,1200000.0,
0301B,43000,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,10193.37,,193.37,,
0301B,43000,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,17531.12,,531.12,,
0301B,43000,12004,SUELDOS PERSONAL FUNCIONARIO GRUPO C2,5447.25,,447.25,,
0301B,43000,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,12106.08,,100.02,,
0301B,43000,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,15503.88,,503.88,,
0301B,43000,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,32659.48,,659.48,,
0301B,43000,12300,RESIDENCIA PERSONAL FUNCIONARIO,5005.7,,5.7,,
0301B,43000,20000,ARRENDAMIENTO DE TERRENOS Y BIENES NATURALES,2000.0,,2000.0,,
0301B,43000,20800,ARRENDAMIENTO DE OTRO INMOVILIZADO MATERIAL,2000.0,,2000.0,,
0301B,43000,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,2000.0,,2000.0,,
0301B,43000,22300,GASTOS DE TRANSPORTES,100.0,,100.0,,
0301B,43000,22602,PUBLICIDAD Y PROPAGANDA,1300.0,,1300.0,,
0301B,43000,22603,PUBLICACIÓN EN DIARIOS OFICIALES,,,,632.69,
0301B,43000,22606,"REUNIONES, CONFERENCIAS Y CURSOS",,,,3595.2,
0301B,43000,22609,ACTIVIDADES CULTURALES Y DEPORTIVAS,500.0,,500.0,1759.58,
0301B,43000,22699,OTROS GASTOS DIVERSOS,75000.0,,75000.0,65890.4,
0301B,43000,22701,SEGURIDAD,500.0,,500.0,,
0301B,43000,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,2600.0,,2600.0,11735.76,
0301B,43000,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,,,,,
0301B,43000,48932,OTRAS TRANSFERENCIAS REAL CLUB NÁUTICO DE GRAN CANARIA,17000.0,,17000.0,,
0301B,43000,48933,OTRAS TRANSFERENCIAS PARQUE CIENTÍFICO TECNOLÓGICO ULPGC,2000.0,,2000.0,,
0301B,43000,48934,OTRAS TRANSFERENCIAS RED MUNDIAL DE CIUDADES SURFERAS,1000.0,,1000.0,,
0301C,23100,44200,SUBV. PARA REDUCIR EL PRECIO A PAGAR POR LOS CONSUMIDORES,400000.0,,400000.0,,
0301C,24100,23020,DIETAS DEL PERSONAL NO DIRECTIVO,400.0,,400.0,,
0301C,24100,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,600.0,,600.0,,
0301C,24100,41000,TRANSF CTES. A LOS ORG. AUTÓNOMOS DE LA ENTIDAD LOCAL,1841000.0,500000.0,2341000.0,2341000.0,
0301C,24100,71000,TRANSF. DE CAPITAL A LOS ORG. AUTÓNOMOS DE LA ENT. LOCAL,235000.0,,235000.0,,
0301D,43120,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,17453.52,,17453.52,15984.64,
0301D,43120,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,4388.64,,4388.64,3967.27,
0301D,43120,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,8932.34,,8932.34,7197.95,
0301D,43120,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,8482.32,,8482.32,7378.67,
0301D,43120,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,15636.48,,15636.48,14320.64,
0301D,43120,12106,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL FUNCIONARIO,473.76,,473.76,39.88,
0301D,43120,12300,RESIDENCIA PERSONAL FUNCIONARIO,2802.24,,2802.24,2566.4,
0301D,43120,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,16421.6,,16421.6,18052.92,
0301D,43120,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,13460.52,,13460.52,14213.85,
0301D,43120,13006,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL LABORAL,1286.28,,1286.28,1027.78,
0301D,43120,21200,REPAR/MANTEN. EDIFICIOS Y OTRAS CONSTRUCCIONES,61300.0,,61300.0,38519.46,
0301D,43120,61900,OTRAS REPOSICIONES DE USO GENERAL,50000.0,,50000.0,,
0301D,43130,20300,"ARRENDAMIENTO MAQUINARIA, INSTALACIONES Y UTILLAJE",3000.0,,3000.0,4361.08,
0301D,43130,20800,ARRENDAMIENTO DE OTRO INMOVILIZADO MATERIAL,6000.0,,6000.0,,
0301D,43130,21200,REPAR/MANTEN. EDIFICIOS Y OTRAS CONSTRUCCIONES,,,,4263.71,
0301D,43130,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,500.0,,500.0,,
0301D,43130,21900,REPAR/MANTEN. OTRO INMOVILIZADO MATERIAL,,,,409.0,
0301D,43130,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,,,,16.11,
0301D,43130,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,3600.0,,1460.0,428.0,
0301D,43130,22104,VESTUARIO,,,,66.13,
0301D,43130,22111,"SUMINISTROS DE REPUESTOS DE MAQ., UTILLAJE Y ELEM. TRANSP.",500.0,,500.0,8.5,
0301D,43130,22199,OTROS SUMINISTROS,500.0,,500.0,80.25,
0301D,43130,22602,PUBLICIDAD Y PROPAGANDA,1000.0,,1000.0,192.6,
0301D,43130,22603,PUBLICACIÓN EN DIARIOS OFICIALES,2000.0,,1251.55,693.36,
0301D,43130,22609,ACTIVIDADES CULTURALES Y DEPORTIVAS,1000.0,,1000.0,2568.0,
0301D,43130,22699,OTROS GASTOS DIVERSOS,25005.9,5.14,25011.04,20635.0,
0301D,43130,22700,LIMPIEZA Y ASEO,17738.25,1334.71,19072.96,17017.67,
0301D,43130,22701,SEGURIDAD,,,,1952.75,
0301D,43130,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,2000.0,,2000.0,,
0301D,43130,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,24546.75,1599.99,26146.74,20399.88,
0301D,43300,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,11622.84,,11622.84,11622.84,
0301D,43300,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,17453.52,,17453.52,23297.51,
0301D,43300,12004,SUELDOS PERSONAL FUNCIONARIO GRUPO C2,5447.25,,1447.25,,
0301D,43300,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,4619.28,,4619.28,4988.69,
0301D,43300,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,18257.47,,18257.47,19862.82,
0301D,43300,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,19717.23,,19717.23,19784.75,
0301D,43300,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,38236.08,,38236.08,39440.27,
0301D,43300,12106,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL FUNCIONARIO,10261.2,,10261.2,10073.48,
0301D,43300,12300,RESIDENCIA PERSONAL FUNCIONARIO,5367.51,,5367.51,5439.72,
0301D,43300,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,15970.3,,15970.3,14015.99,
0301D,43300,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,13460.52,,13460.52,12327.75,
0301D,43300,13006,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL LABORAL,236.88,,236.88,19.94,
0301D,43300,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,22467.71,,22467.71,22468.59,
0301D,43300,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,276626.83,,249126.83,257453.89,
0301D,43300,20300,"ARRENDAMIENTO MAQUINARIA, INSTALACIONES Y UTILLAJE",,,,7725.33,
0301D,43300,20800,ARRENDAMIENTO DE OTRO INMOVILIZADO MATERIAL,4500.0,,4500.0,428.0,
0301D,43300,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,1100.0,,1100.0,,
0301D,43300,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,3600.0,,3600.0,3424.81,
0301D,43300,22602,PUBLICIDAD Y PROPAGANDA,5000.0,3105.0,8105.0,17509.3,
0301D,43300,22609,ACTIVIDADES CULTURALES Y DEPORTIVAS,9000.0,,9000.0,3993.5,
0301D,43300,22699,OTROS GASTOS DIVERSOS,6000.0,,6000.0,11881.03,
0301D,43300,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,9000.0,,9000.0,3103.0,
0301D,43300,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,1000.0,,1000.0,3745.0,
0301D,43300,48936,OTRAS TRANSFERENCIAS VENTANILLA ÚNICA EMPRESARIAL,22500.0,,22500.0,22500.0,
0301D,43300,61900,OTRAS REPOSICIONES DE USO GENERAL,,,25000.0,49465.09,
0301D,49300,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,23245.68,,23245.68,23245.68,
0301D,49300,12004,SUELDOS PERSONAL FUNCIONARIO GRUPO C2,14526.0,,526.0,4549.14,
0301D,49300,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,13862.64,,11862.64,10529.03,
0301D,49300,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,20507.66,,15507.66,14571.62,
0301D,49300,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,18902.16,,18902.16,13578.43,
