#Org.,Pro.,Eco.,Descripción,Créditos Iniciales,Modificaciones de Crédito,Créditos Totales consignados,Obligaciones Reconocidas
0101G,93300,12004,SUELDOS PERSONAL FUNCIONARIO GRUPO C2,6657.75,0,6657.75,0
0101G,93300,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,2564.64,0,2564.64,3630.88
0101G,93300,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,16453.14,0,16453.14,6606.35
0101G,93300,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,22340.73,0,22340.73,9066.8
0101G,93300,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,44893.8,0,44893.8,18238.39
0101G,93300,12106,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL FUNCIONARIO,2851.44,0,2851.44,2778.84
0101G,93300,12300,RESIDENCIA PERSONAL FUNCIONARIO,5855.41,0,5855.41,2155.53
0101G,93300,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,29276.49,0,29276.49,20686.69
0101G,93300,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,32155.02,0,32155.02,25237.88
0101G,93300,13006,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL LABORAL,1806.96,0,1806.96,349.73
0101G,93300,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,132463.44,0,132463.44,134133.99
0101G,93300,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,264495,0,264495,266261.74
0101G,93300,13600,COMPLEMENTO DE GARANTÍA RETRIBUTIVA,6947.76,0,6947.76,9350.1
0101G,93300,20200,ARRENDAMIENTO DE EDIFICIOS Y OTRAS CONSTRUCCIONES,21600,0,21600,5516.52
0101G,93300,20900,CÁNONES,3600,13388.69,16988.69,57329.41
0101G,93300,21200,REPAR/MANTEN. EDIFICIOS Y OTRAS CONSTRUCCIONES,386000,695.5,386695.5,375906.96
0101G,93300,21400,REPAR/MANTEN. ELEMENTOS DE TRANSPORTE,300,0,300,0
0101G,93300,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,5000,0,5000,8374.16
0101G,93300,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,2000,-1500,500,390.21
0101G,93300,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",1800,0,1800,1780.77
0101G,93300,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,1600,0,1600,922.34
0101G,93300,22104,VESTUARIO,5000,-3000,2000,0
0101G,93300,22300,GASTOS DE TRANSPORTES,0,0,0,24853.9
0101G,93300,22400,PRIMAS DE SEGUROS,132500,0,132500,132512.96
0101G,93300,22402,PRIMAS DE SEGUROS. OTRO INMOVILIZADO,45300,0,45300,44331.8
0101G,93300,22603,PUBLICACIÓN EN DIARIOS OFICIALES,1500,0,1500,2220.86
0101G,93300,22614,CUOTAS DE COMUNIDAD,4000,0,4000,2773.6
0101G,93300,22696,GASTOS DIVERSOS. INDEMNIZACIONES POR REVISIÓN DE OFICIO,0,140993.71,140993.71,147600.19
0101G,93300,22699,OTROS GASTOS DIVERSOS,395440.84,-5915.36,389525.48,0
0101G,93300,22700,LIMPIEZA Y ASEO,1865667.92,0,1865667.92,1865667.92
0101G,93300,22701,SEGURIDAD,312666.07,-31000,281666.07,249724.56
0101G,93300,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,500,0,500,3261.42
0101G,93300,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,109673.13,0,109673.13,84689.26
0101G,93300,62200,EDIFICIOS Y OTRAS CONSTRUCCIONES,800000,2300000,3100000,3026206.74
0101G,93300,62500,MOBILIARIO,30000,30000,60000,97587.69
0101G,93300,62909,OTRAS INV NUEVAS ASOC AL FUNCIONAM OPERATIVO DE LOS SERV,100000,0,100000,100000
0101G,93300,64100,GASTOS EN APLICACIONES INFORMÁTICAS,0,6500,6500,6473.5
0101H,92000,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,13441.8,0,13441.8,13576.32
0101H,92000,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,53815.02,0,53815.02,43343.37
0101H,92000,12004,SUELDOS PERSONAL FUNCIONARIO GRUPO C2,5447.25,0,5447.25,0
0101H,92000,12005,SUELDOS PERSONAL FUNCIONARIO GRUPO E,553.96,0,553.96,0
0101H,92000,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,22664.16,0,22664.16,13466.27
0101H,92000,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,34893.67,0,34893.67,28716.39
0101H,92000,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,43476.82,0,43476.82,37126.77
0101H,92000,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,86591.08,0,86591.08,75868.88
0101H,92000,12106,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL FUNCIONARIO,5045.4,0,5045.4,1695.48
0101H,92000,12300,RESIDENCIA PERSONAL FUNCIONARIO,11670.43,0,11670.43,9059.04
0101H,92000,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,20944.32,0,20944.32,21155.48
0101H,92000,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,19000.08,0,19000.08,19194
0101H,92000,13006,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL LABORAL,5183.76,0,5183.76,5006.88
0101H,92000,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,43182.72,0,43182.72,43413.16
0101H,92000,13600,COMPLEMENTO DE GARANTÍA RETRIBUTIVA,2424.48,0,2424.48,2018.2
0101H,92000,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,127900,0,127900,44378.65
0101H,92000,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",3100,0,3100,2070
0101H,92000,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,2000,0,2000,592.98
0101H,92000,22502,TRIBUTOS DE LAS ENTIDADES LOCALES,9000,0,9000,0
0101H,92000,22603,PUBLICACIÓN EN DIARIOS OFICIALES,7000,0,7000,14664.38
0101H,92000,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,0,0,0,4408.4
0101H,92000,23020,DIETAS DEL PERSONAL NO DIRECTIVO,0,0,0,115.1
0101H,92000,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,0,0,0,182.22
0201A,15101,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,67209,0,67209,40516.83
0201A,15101,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,11622.84,0,11622.84,11739.12
0201A,15101,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,10181.22,0,10181.22,8814.12
0201A,15101,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,21030.96,0,21030.96,20848.64
0201A,15101,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,39646.72,0,39646.72,29276.96
0201A,15101,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,52266.49,0,52266.49,37483.4
0201A,15101,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,112855.48,0,112855.48,82025.31
0201A,15101,12106,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL FUNCIONARIO,2766.72,0,2766.72,2577.6
0201A,15101,12300,RESIDENCIA PERSONAL FUNCIONARIO,13729.44,0,13729.44,9398.58
0201A,15101,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,32265.48,0,32265.48,28604.36
0201A,15101,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,27409.68,0,27409.68,26378.71
0201A,15101,13006,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL LABORAL,6051.12,0,6051.12,5922.36
0201A,15101,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,896816.76,0,896816.76,966342.46
0201A,15101,13600,COMPLEMENTO DE GARANTÍA RETRIBUTIVA,5684.04,0,5684.04,5798.18
0201A,15101,20900,CÁNONES,0,0,0,8577.27
0201A,15101,21000,REPAR/MANTEN. INFR ESTRUCTURA Y BIENES NATURALES,100000,22255.79,122255.79,90041.05
0201A,15101,21200,REPAR/MANTEN. EDIFICIOS Y OTRAS CONSTRUCCIONES,35000,0,35000,0
0201A,15101,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,5000,0,5000,0
0201A,15101,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,10000,0,10000,10000
0201A,15101,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",1000,0,1000,6509.92
0201A,15101,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,18000,0,18000,0
0201A,15101,22501,TRIBUTOS DE LAS COMUNIDADES AUTÓNOMAS,0,0,0,574.92
0201A,15101,22601,ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS,0,0,0,10046.23
0201A,15101,22602,PUBLICIDAD Y PROPAGANDA,2500,0,2500,0
0201A,15101,22603,PUBLICACIÓN EN DIARIOS OFICIALES,8000,0,8000,0
0201A,15101,22604,"GASTOS JURÍDICOS, CONTENCIOSOS",50000,59618.82,109618.82,14120.56
0201A,15101,22696,GASTOS DIVERSOS. INDEMNIZACIONES POR REVISIÓN DE OFICIO,0,0,0,22255.79
0201A,15101,22699,OTROS GASTOS DIVERSOS,25000,604207.79,629207.79,630854.95
0201A,15101,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,1070000,313571.46,1383571.46,1212893.36
0201A,15101,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,10000,7857.2,17857.2,0
0201A,15101,23100,LOCOMOCIONES DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,1500,0,1500,0
0201A,15101,35200,INTERESES DE DEMORA,9181611.89,6844.76,9188456.65,9100591.98
0201A,15101,48900,OTRAS TRANSFERENCIAS A FAMILIAS E INSTIT. SIN FINES DE LUCRO,140000,-140000,0,0
0201A,15101,60000,INVERSION EN TERRENOS,6603322.13,1782261.97,8385584.1,8318501.43
0201A,15101,60900,OTRAS INVERSIONES NUEVAS EN INFRAEST. Y BIENES DE USO GNRAL.,3112431.05,9533850.61,12646281.66,4270575.62
0201A,15101,61900,OTRAS REPOSICIONES DE USO GENERAL,0,43295.73,43295.73,43295.73
0201A,15101,63200,"EDIFICIOS Y OTRAS CONSTRUCCIONES, USO OPERATIVO",400000,4488809.28,4888809.28,138984.15
0201A,15103,60900,OTRAS INVERSIONES NUEVAS EN INFRAEST. Y BIENES DE USO GNRAL.,2301349.12,76362.51,2377711.63,288065.02
0201A,15103,61900,OTRAS REPOSICIONES DE USO GENERAL,2301349.12,61149.75,2362498.87,111382.41
0201A,15103,62200,EDIFICIOS Y OTRAS CONSTRUCCIONES,575448.39,8032.62,583481.01,7378.27
0201A,15103,63200,"EDIFICIOS Y OTRAS CONSTRUCCIONES, USO OPERATIVO",575448.38,9374.51,584822.89,25997.04
0201A,15310,61900,OTRAS REPOSICIONES DE USO GENERAL,0,190584.34,190584.34,29852.2
0201A,15320,61900,OTRAS REPOSICIONES DE USO GENERAL,0,2158774.73,2158774.73,712117.97
0201A,16000,60900,OTRAS INVERSIONES NUEVAS EN INFRAEST. Y BIENES DE USO GNRAL.,0,1000000,1000000,0
0201A,16000,61900,OTRAS REPOSICIONES DE USO GENERAL,0,208001.65,208001.65,141835.78
0201A,17100,61900,OTRAS REPOSICIONES DE USO GENERAL,0,122236.23,122236.23,106248.4
0201A,17200,61900,OTRAS REPOSICIONES DE USO GENERAL,0,26025.25,26025.25,8183.43
0201A,44200,60900,OTRAS INVERSIONES NUEVAS EN INFRAEST. Y BIENES DE USO GNRAL.,0,6482.3,6482.3,0
0201A,44200,61900,OTRAS REPOSICIONES DE USO GENERAL,0,21131.48,21131.48,0
0201A,93300,61900,OTRAS REPOSICIONES DE USO GENERAL,0,8707.82,8707.82,428.08
0201B,15210,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,11622.84,0,11622.84,11707.56
0201B,15210,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,17453.52,0,17453.52,17628.24
0201B,15210,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,7377.36,0,7377.36,7443.76
0201B,15210,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,14608.08,0,14608.08,15023.66
0201B,15210,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,18032.04,0,18032.04,18152.77
0201B,15210,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,39579.84,360,39939.84,39937.65
0201B,15210,12300,RESIDENCIA PERSONAL FUNCIONARIO,4501.44,0,4501.44,4541.95
0201B,15210,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,14433.72,0,14433.72,14579.33
0201B,15210,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,13949.16,0,13949.16,14091.36
0201B,15210,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,284265.84,0,284265.84,286578.02
0201B,15210,13600,COMPLEMENTO DE GARANTÍA RETRIBUTIVA,2424.48,0,2424.48,2018.2
0201B,15210,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,1000,0,1000,0
0201B,15210,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,1500,0,1500,0
0201B,15210,22200,SERVICIOS DE TELECOMUNICACIONES,300,0,300,0
0201B,15210,22201,COMUNICACIONES POSTALES,0,0,0,25.32
0201B,15210,22400,PRIMAS DE SEGUROS,0,0,0,2842.73
0201B,15210,22604,"GASTOS JURÍDICOS, CONTENCIOSOS",32800,0,32800,5322.1
0201B,15210,22696,GASTOS DIVERSOS. INDEMNIZACIONES POR REVISIÓN DE OFICIO,0,52527.86,52527.86,59446.37
0201B,15210,22699,OTROS GASTOS DIVERSOS,2000,0,2000,0
0201B,15210,22701,SEGURIDAD,0,0,0,0
0201B,15210,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,120000,9833.33,129833.33,136163.68
0201B,15210,23000,DIETAS DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,500,0,500,0
0201B,15210,23020,DIETAS DEL PERSONAL NO DIRECTIVO,500,0,500,0
0201B,15210,23100,LOCOMOCIONES DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,1000,0,1000,0
0201B,15210,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,1000,0,1000,0
0201B,15210,48900,OTRAS TRANSFERENCIAS A FAMILIAS E INSTIT. SIN FINES DE LUCRO,1000000,140000,1140000,1099830.27
0201B,15210,68200,GASTOS EN INVERSIONES DE EDIFICIOS Y OTRAS CONSTRUCCIONES,700000,249986.07,949986.07,467959.87
0201B,15210,78900,OTRAS TRANSFERENCIAS DE CAPITAL,6264677.73,3244649.75,9509327.48,2158567.61
0201B,15220,21000,REPAR/MANTEN. INFR ESTRUCTURA Y BIENES NATURALES,65000,44041.92,109041.92,0
0201B,15220,21200,REPAR/MANTEN. EDIFICIOS Y OTRAS CONSTRUCCIONES,1000,0,1000,0
0201B,15220,21201,REPAR/MANTEN. DE VIVIENDAS,21500,0,21500,12564.06
0201B,15220,22100,ENERGÍA ELÉCTRICA,400,1723.22,2123.22,5402.09
0201B,15220,22101,AGUA,1500,0,1500,55.43
0201B,15220,22614,CUOTAS DE COMUNIDAD,70000,1463.76,71463.76,53710.77
0201B,15220,22696,GASTOS DIVERSOS. INDEMNIZACIONES POR REVISIÓN DE OFICIO,0,0,0,44041.92
0201B,15220,60900,OTRAS INVERSIONES NUEVAS EN INFRAEST. Y BIENES DE USO GNRAL.,0,30.94,30.94,0
0201C,15102,10100,RETRIBUCIONES BÁSICAS PERSONAL DIRECTIVO,58946.04,0,58946.04,59362.19
0201C,15102,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,57127.65,0,57127.65,55327.15
0201C,15102,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,34868.52,0,34868.52,35217.36
0201C,15102,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,106175.58,0,106175.58,94708.11
0201C,15102,12004,SUELDOS PERSONAL FUNCIONARIO GRUPO C2,20578.5,0,20578.5,14671.44
0201C,15102,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,58607.76,0,58607.76,55222
0201C,15102,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,100317.19,0,100317.19,92906.56
0201C,15102,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,126264.84,0,126264.84,115249.3
0201C,15102,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,255070.08,0,255070.08,238835.93
0201C,15102,12106,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL FUNCIONARIO,9380.76,0,9380.76,11663.95
0201C,15102,12300,RESIDENCIA PERSONAL FUNCIONARIO,34252.64,0,34252.64,31245.53
0201C,15102,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,84983.28,0,84983.28,81176.43
0201C,15102,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,85338,0,85338,79825.89
0201C,15102,13006,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL LABORAL,19191.12,0,19191.12,18114.44
0201C,15102,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,1528183.2,0,1528183.2,1445974.29
0201C,15102,13600,COMPLEMENTO DE GARANTÍA RETRIBUTIVA,16765.56,0,16765.56,11200.44
0201C,15102,21300,"REPAR/MANTEN. MAQUINARIA, INSTALACIONES TÉCNICAS Y UTILLAJE",200,0,200,0
0201C,15102,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,200,0,200,0
0201C,15102,21600,REPAR/MANTEN. EQUIPOS PARA PROCESOS DE INFORMACIÓN,1000,0,1000,0
0201C,15102,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,2000,0,2000,2499.5
0201C,15102,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",200,0,200,0
0201C,15102,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,9000,0,9000,5000
0201C,15102,22104,VESTUARIO,150,0,150,1268.65
0201C,15102,22109,ÚTILES Y HERRAMIENTAS,150,0,150,0
0201C,15102,22199,OTROS SUMINISTROS,200,0,200,0
0201C,15102,22300,GASTOS DE TRANSPORTES,200,0,200,0
0201C,15102,22602,PUBLICIDAD Y PROPAGANDA,200,0,200,0
0201C,15102,22604,"GASTOS JURÍDICOS, CONTENCIOSOS",45000,0,45000,48720.19
0201C,15102,22697,OTROS GASTOS DIVERSOS. INDEMNIZACIONES POR SENTENCIAS,2500,0,2500,0
0201C,15102,22699,OTROS GASTOS DIVERSOS,5000,0,5000,0
0201C,15102,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,10000,0,10000,1872.5
0201C,15102,22790,EJECUCIONES SUBSIDIARIAS,120000,0,120000,42225.97
0201C,15102,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,45000,-29367.79,15632.21,0
0201C,15102,23010,DIETAS DEL PERSONAL DIRECTIVO,500,0,500,0
0201C,15102,23020,DIETAS DEL PERSONAL NO DIRECTIVO,500,0,500,0
0201C,15102,23110,LOCOMOCIONES DEL PERSONAL DIRECTIVO,500,0,500,0
0201C,15102,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,1000,0,1000,28.06
0201C,15102,35200,INTERESES DE DEMORA,10000,10963.79,20963.79,20963.79
0201C,15102,62300,"MAQUINARIA, INSTALACIONES TÉCNICAS Y UTILLAJE",0,8100,8100,8100
0201C,15102,64100,GASTOS EN APLICACIONES INFORMÁTICAS,0,18404,18404,18404
0301A,43200,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,22035.12,0,22035.12,22258.45
0301A,43200,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,71409.72,0,71409.72,71529.16
0301A,43200,13600,COMPLEMENTO DE GARANTÍA RETRIBUTIVA,1854.36,0,1854.36,1492.59
0301A,43200,44900,OTRAS SUBV. A ENTES PÚBL. Y SOC. MERCANTILES DEL AYTO.,1410000,0,1410000,1410000
0301B,43000,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,20162.7,0,20162.7,0
0301B,43000,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,14528.55,0,14528.55,0
0301B,43000,12004,SUELDOS PERSONAL FUNCIONARIO GRUPO C2,605.25,0,605.25,0
0301B,43000,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,12696.35,0,12696.35,0
0301B,43000,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,16238.49,0,16238.49,0
0301B,43000,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,36301.88,0,36301.88,0
0301B,43000,12300,RESIDENCIA PERSONAL FUNCIONARIO,5338.91,0,5338.91,0
0301B,43000,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,39512.4,0,39512.4,37029.06
0301B,43000,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,120,0,120,0
0301B,43000,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",100,0,100,0
0301B,43000,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,2000,0,2000,0
0301B,43000,22300,GASTOS DE TRANSPORTES,100,0,100,0
0301B,43000,22400,PRIMAS DE SEGUROS,100,0,100,0
0301B,43000,22602,PUBLICIDAD Y PROPAGANDA,1300,0,1300,0
0301B,43000,22603,PUBLICACIÓN EN DIARIOS OFICIALES,500,0,500,0
0301B,43000,22606,"REUNIONES, CONFERENCIAS Y CURSOS",4380,0,4380,6420
0301B,43000,22609,ACTIVIDADES CULTURALES Y DEPORTIVAS,0,0,0,5510.5
0301B,43000,22699,OTROS GASTOS DIVERSOS,80000,0,80000,55675
0301B,43000,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,29400,0,29400,6195.3
0301B,43000,23000,DIETAS DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,500,0,500,0
0301B,43000,23020,DIETAS DEL PERSONAL NO DIRECTIVO,500,0,500,0
0301B,43000,23110,LOCOMOCIONES DEL PERSONAL DIRECTIVO,500,0,500,0
0301B,43000,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,500,0,500,0
0301B,43000,48100,"PREMIOS, BECAS, PENSIONES PARA ESTUDIO E INVESTIGACIÓN",1000,0,1000,0
0301B,43000,48900,OTRAS TRANSFERENCIAS A FAMILIAS E INSTIT. SIN FINES DE LUCRO,2000,0,2000,0
0301B,43000,48932,"OTRAS TRANSFERENCIAS """"REAL CLUB NÁUTICO DE GRAN CANARIA""""",17000,0,17000,0
0301B,43000,64100,GASTOS EN APLICACIONES INFORMÁTICAS,36000,0,36000,18000
0301C,23100,44200,SUBV. PARA REDUCIR EL PRECIO A PAGAR POR LOS CONSUMIDORES,857325,0,857325,0
0301C,24100,23020,DIETAS DEL PERSONAL NO DIRECTIVO,400,0,400,0
0301C,24100,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,600,0,600,0
0301C,24100,41000,TRANSF. CORRIENTES A LOS ORG. AUTÓNOMOS DE LA ENT. LOCAL,2583861.83,0,2583861.83,0
0301C,24100,71000,TRANSFERENCIAS DE CAPITAL A ORG. AUTÓNOMOS DE LA ENT. LOCAL,235000,0,235000,0
0301D,43120,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,17453.52,0,17453.52,17628.24
0301D,43120,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,4389.36,0,4389.36,4434.48
0301D,43120,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,7198.08,0,7198.08,7270.86
0301D,43120,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,8482.32,0,8482.32,8072.87
0301D,43120,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,15636.48,0,15636.48,15797.76
0301D,43120,12106,C.P.T. PERSONAL FUNCIONARIO,0,0,0,1888.44
0301D,43120,12300,RESIDENCIA PERSONAL FUNCIONARIO,2802.24,0,2802.24,2830.32
0301D,43120,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,15475.56,0,15475.56,15631.91
0301D,43120,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,13460.52,0,13460.52,13598.37
0301D,43120,13006,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL LABORAL,1047.72,0,1047.72,918.96
0301D,43120,21200,REPAR/MANTEN. EDIFICIOS Y OTRAS CONSTRUCCIONES,47300,8772.5,56072.5,0
0301D,43120,61900,OTRAS REPOSICIONES DE USO GENERAL,0,45219.4,45219.4,45219.4
0301D,43120,63200,"EDIFICIOS-OT.CONSTRUCCIONES, INVERS. REPOSICIÓN",0,45286.28,45286.28,0
0301D,43130,20300,"ARRENDAMIENTO MAQUINARIA, INSTALACIONES Y UTILLAJE",3000,25000,28000,2251.49
0301D,43130,20500,ARRENDAMIENTO DE MOBILIARIO Y ENSERES,0,0,0,0
0301D,43130,20800,ARRENDAMIENTO DE OTRO INMOVILIZADO MATERIAL,6000,0,6000,0
0301D,43130,21900,REPAR/MANTEN. OTRO INMOVILIZADO MATERIAL,500,0,500,167.44
0301D,43130,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,2600,0,2600,0
0301D,43130,22111,"SUMINISTROS DE REPUESTOS DE MAQ., UTILLAJE Y ELEM. TRANSP.",500,0,500,0
0301D,43130,22199,OTROS SUMINISTROS,500,0,500,0
0301D,43130,22602,PUBLICIDAD Y PROPAGANDA,1000,0,1000,0
0301D,43130,22603,PUBLICACIÓN EN DIARIOS OFICIALES,1000,0,1000,203.67
0301D,43130,22609,ACTIVIDADES CULTURALES Y DEPORTIVAS,500,25000,25500,0
0301D,43130,22699,OTROS GASTOS DIVERSOS,26000,0,26000,22623.22
0301D,43130,22700,LIMPIEZA Y ASEO,17738.25,0,17738.25,11084.43
0301D,43130,22701,SEGURIDAD,0,0,0,936.25
0301D,43130,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,1889.54,0,1889.54,0
0301D,43130,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,24472.21,0,24472.21,13599.93
0301D,43130,62500,MOBILIARIO,0,17968.3,17968.3,17968.3
0301D,43300,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,11622.84,0,11622.84,11739.12
0301D,43300,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,18907.98,0,18907.98,17628.24
0301D,43300,12004,SUELDOS PERSONAL FUNCIONARIO GRUPO C2,1210.5,0,1210.5,6901.89
0301D,43300,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,5360.16,0,5360.16,5388.75
0301D,43300,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,14256.28,0,14256.28,15810.98
0301D,43300,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,18267.6,0,18267.6,19951.26
0301D,43300,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,36403.68,0,36403.68,39666.92
0301D,43300,12106,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL FUNCIONARIO,10113.36,0,10113.36,10106.4
